DEALER_ID,Dealer_Name,Dealer_Brand,Dealer_Address,Dealer_Pincode,Dealer_City,Dealer_State,Dealer_Category_Level_3,FOS_Code,FOS_Name
60104274,A Data Computar,A Data Computar,RevenueColony2157 NearShirurCourtCentreRoad  PUNE MAHARASHTRA,412210.0,Pune,Maharashtra,Others,90049256,Sarang Awate
138851,Dummy Pf Ashirvad Solar Ltd,Dummy Code,234 PLESANT AVENUE VIMAN NAGAR  PUNE MAHARASHTRA,411014.0,Pune,Maharashtra,Apparels,90043471,Tejas Anil Kumbhar
60117820,Mohan Metal Mart,Mohan Metal Mart,"SURVEYNO215,SHOPNO1AND2 FORTUNEESTATEHADPSAR  PUNE MAHARASHTRA",411028.0,Pune,Maharashtra,Small Appliances,90043471,Tejas Anil Kumbhar
1022495,Shree Ganesh Tyres,Shree Ganesh Tyres,SR NO 144A6A GHAVATE VASTI MANJARI VILLAGE ROAD PUNE PUNE  PUNE MAHARASHTRA,412307.0,Pune,Maharashtra,Tyres,90041413,Vijay Kumar
1010045,C T Pundole And Sons Pvt Ltd Ctpundolep M Mall Rado,C T Pundole And Sons Pvt Ltd Ctpundolep M Mall Rado,CTPUNDOLEP M MALL RADO LONGINESS ST UG 38 UPPER GROUND FLOOR PHOENIX MALL OF THE MILLENNIUM BEHIND SAYAJI HOTEL WAKAD  PUNE MAHARASHTRA,411057.0,Pune,Maharashtra,Others,No Mapping,No Mapping
60115271,Mattress House,Mattress House,SR NO 118 LAXMI HOSPITAL KHARADI HADAPSAR ROAD Pune Pune  PUNE MAHARASHTRA,411014.0,Pune,Maharashtra,Others,90049256,Sarang Awate
60100656,Dream Work Technology,Dream Work Technology,"SHOPNO-3290/1,VANDEMATARAMCHOWK, SHOPNO-3290/1,VANDEMATARAMCHOWK,  PUNE MAHARASHTRA",411002.0,Pune,Maharashtra,Others,No Mapping,No Mapping
60108988,Happy Kids Toys,Happy Kids Toys,130 MG ROAD NEAR FASHION STREET CAMP PUNE  PUNE MAHARASHTRA,411001.0,Pune,Maharashtra,Others,90049256,Sarang Awate
1010044,C T Pundole And Sons Pvt Ltd Ctpundolep M Mall,C T Pundole And Sons Pvt Ltd Ctpundolep M Mall,CTPUNDOLEP M MALL SEIKO STORE WAKAD UG 22 UPPER GROUND FLOORPHOENIX MALL OF THE MILLENNIUM BEHIND SAYAJI HOTEL WAKAD  PUNE MAHARASHTRA,411057.0,Pune,Maharashtra,Others,No Mapping,No Mapping
60113014,Machine N Tools,Machine N Tools,5577OppAlpanaTakies NanaPeth  PUNE MAHARASHTRA,411002.0,Pune,Maharashtra,Small Appliances,90049256,Sarang Awate
60124623,Kgenterprises,Na,1081kazicorener Bhajjigalli  PUNE MAHARASHTRA,411002.0,Pune,Maharashtra,Apparels,No Mapping,No Mapping
60125486,Gamerz Nation,Gamerz Nation,"flatno401madhusudhabuilding SenapatiBapatRoad,Chaturshrungi,Pune,MaharashtraPin-411016India  PUNE MAHARASHTRA",411016.0,Pune,Maharashtra,Others,90043471,Tejas Anil Kumbhar
60127048,Novel Sewing Machine Company,Novel Sewing Machine Company,777 Ground floor Raviwar peth Nr Phadke Haud Pune Pune  PUNE MAHARASHTRA,411002.0,Pune,Maharashtra,Small Appliances,90049256,Sarang Awate
60129948,Shree Tyres,Shree Tyres,"Shopno1madanecomplextheurkesnandroadhavelipune TheurKesnandRoad,Undrevasti,Haveli,PuneDistrict,MaharashtraPin-412110India  PUNE MAHARASHTRA",412110.0,Pune,Maharashtra,Tyres,90041722,Shubham Uttamrao Sunewad
70012913,Chintamani Enterprises,Chintamani Enterprises,,411060.0,Pune,Maharashtra,Others,90041413,Vijay Kumar
70008222,Reliance Retail Limited ,Reliance Retail Limited ,,411019.0,Pune,Maharashtra,LFR,90049256,Sarang Awate
70017168,Siddhi Traders ,Siddhi Traders ,,411012.0,Pune,Maharashtra,Others,90041722,Shubham Uttamrao Sunewad
70014142,Brahma Chaitanya Tyres,Brahma Chaitanya Tyres,,412308.0,Pune,Maharashtra,Tyres,90041413,Vijay Kumar
70015683,Mahadev Green Wheels,Mahadev Green Wheels,,411019.0,Pune,Maharashtra,Others,90043471,Tejas Anil Kumbhar
70026921,Mumbai Cycle,Mumbai Cycle,,411037.0,Pune,Maharashtra,Cycles,90041722,Shubham Uttamrao Sunewad
70033460,ALFA MULTI CAR SERVICE,ALFA MULTI CAR SERVICE,,413106.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90041722,Shubham Uttamrao Sunewad
70030373,HM TYRES,HM TYRES,,412307.0,Pune,Maharashtra,Tyres,90041722,Shubham Uttamrao Sunewad
70030389,SAIKRUPA AGENCY,SAIKRUPA AGENCY,,411037.0,Pune,Maharashtra,Power Backup,90041722,Shubham Uttamrao Sunewad
970981,Titan Company Ltd,Helios,Helios Western Mall Dangratoli Chowk Opp Pantaloon Lalpur Ranchi 834001   Pune Maharashtra,411060.0,Pune,Maharashtra,Watches,90043134,Rohan Kumar Paswan
566368,Kedar Motors,Amo Electric Bike,Radheya Appt Cs No 1736 Shop No 1 New Mahadwar Road Kolhapur Radheya Appt Cs No 1736 Shop No 1 New Mahadwar Road Kolhapur  Pune Maharashtra,413102.0,Pune,Maharashtra,E-Bike,No Mapping,No Mapping
194542,Bhawani Collection,Bhawani Collection,Shop No 5 Buddha Vihar Siddharth Nagar Rahatani Pune Buddha Vihar  Pune Maharashtra,411017.0,Pune,Maharashtra,Apparels,No Mapping,No Mapping
60027524,Saumya Traderspuneedc,Saumya Traderspuneedc,Mantri Office  Pune Maharashtra,411011.0,Pune,Maharashtra,Cycles,No Mapping,No Mapping
611287,Wardwizard Solutions India Pvt Ltd,Joy E-Bike,Gat No 79 Jyotiba Nagar Talawade Pune Talawade Pune  Pune Maharashtra,411044.0,Pune,Maharashtra,E-Bike,No Mapping,No Mapping
607780,Vimal Electrical And Associates,Vimal Electrical And Associats,Sr No 70 1 3 Shop No 4 Ground Floor Surya Appartment Ram Nagar Pune  Pune Maharashtra,411027.0,Pune,Maharashtra,Power Backup,No Mapping,No Mapping
935545,Unik Battery Corporation,Unik Battery Corporation,Sr No Gauravraj Buildinfg Bharti Vidyapith Dattanagar Pune Pune Maharashtra Sr No Gauravraj Buildinfg Bharti Vidyapith Dattanagar Pune Pune Maharashtra  Pune Maharashtra,411046.0,Pune,Maharashtra,Power Backup,No Mapping,No Mapping
406671,Mitul Enterprises Pvt Ltd,Levis,Levis Storeshop No 5 F 1 Seasons Mall Magarpatta City Seasons Mall  Pune Maharashtra,411013.0,Pune,Maharashtra,Apparels,No Mapping,No Mapping
852521,Voi Jeans Retail India Private Limited,Voi Jeans Retail India Private Limited,Voi Jeans Retail India Pvt Ltd Seasons Mall Shop Number Ff 29 Magarpatta Road   Pune Maharashtra,411013.0,Pune,Maharashtra,Apparels,No Mapping,No Mapping
282179,Lifestyle International Pvt Ltd ,Max Fashion,Marketcity Mall Ground Floor Shop No G26 Vamona Developers Pvt Ltd Survey No207 Behind Baker Gauges Viman Nagar Nagar Road Pune 411014  Pune Maharashtra,411014.0,Pune,Maharashtra,LFR,No Mapping,No Mapping
